date1,date,DTB3,SVENY01,SVENY02,SVENY03,SVENY04,SVENY05,SVENY06,SVENY07,SVENY08,SVENY09,SVENY10,SVENY15,SVENY20,SVENY30,TIPSY02,TIPSY03,TIPSY04,TIPSY05,TIPSY06,TIPSY07,TIPSY08,TIPSY09,TIPSY10,TIPSY15,TIPSY20,BKEVENY02,BKEVENY03,BKEVENY04,BKEVENY05,BKEVENY06,BKEVENY07,BKEVENY08,BKEVENY09,BKEVENY10,BKEVENY15,BKEVENY20,
14/06/1961,1961-06-14,,2.9825,3.3771,3.553,3.6439,3.6987,3.7351,3.7612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/06/1961,1961-06-15,,2.9941,3.4137,3.5981,3.693,3.7501,3.7882,3.8154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/06/1961,1961-06-16,,3.0012,3.4142,3.5994,3.6953,3.7531,3.7917,3.8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/06/1961,1961-06-19,,2.9949,3.4386,3.6252,3.7199,3.7768,3.8147,3.8418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/06/1961,1961-06-20,,2.9833,3.4101,3.5986,3.6952,3.7533,3.7921,3.8198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/06/1961,1961-06-21,,2.9993,3.4236,3.6132,3.7107,3.7694,3.8085,3.8364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/1961,1961-06-22,,2.9837,3.4036,3.5976,3.6981,3.7587,3.799,3.8279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/06/1961,1961-06-23,,2.9749,3.3706,3.5725,3.6816,3.7478,3.7921,3.8237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/06/1961,1961-06-26,,2.9563,3.3623,3.5678,3.6784,3.7455,3.7903,3.8224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/06/1961,1961-06-27,,2.9666,3.3593,3.5641,3.6778,3.7477,3.7945,3.828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/06/1961,1961-06-28,,2.975,3.3824,3.5856,3.6953,3.762,3.8066,3.8384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/06/1961,1961-06-29,,2.958,3.3513,3.5617,3.6794,3.7519,3.8004,3.8352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/06/1961,1961-06-30,,2.9011,3.2795,3.5036,3.6316,3.7109,3.764,3.802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/07/1961,1961-07-03,,2.9329,3.3105,3.5231,3.6442,3.7192,3.7696,3.8056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/07/1961,1961-07-05,,2.9362,3.3251,3.5335,3.6555,3.7328,3.7854,3.8233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/07/1961,1961-07-06,,2.9306,3.3286,3.5408,3.6634,3.7406,3.7927,3.8302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/07/1961,1961-07-07,,2.9369,3.347,3.5624,3.6847,3.7608,3.812,3.8486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/1961,1961-07-10,,2.9254,3.3565,3.5775,3.6994,3.7741,3.8241,3.8598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/1961,1961-07-11,,2.8934,3.3287,3.5598,3.6884,3.7675,3.8205,3.8584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/07/1961,1961-07-12,,2.864,3.3145,3.552,3.6851,3.7673,3.8224,3.8618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/07/1961,1961-07-13,,2.862,3.3117,3.5479,3.6797,3.7609,3.8153,3.8542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/07/1961,1961-07-14,,2.8506,3.3043,3.5444,3.6834,3.7709,3.8302,3.8727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/07/1961,1961-07-17,,2.8098,3.2813,3.529,3.6682,3.7543,3.812,3.8533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/07/1961,1961-07-18,,2.7991,3.2768,3.5286,3.6693,3.7559,3.814,3.8555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/07/1961,1961-07-19,,2.7832,3.267,3.5207,3.661,3.7471,3.8047,3.8459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/07/1961,1961-07-20,,2.7726,3.2498,3.4998,3.6382,3.7229,3.7797,3.8203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/07/1961,1961-07-21,,2.7463,3.1964,3.4527,3.6025,3.6966,3.7601,3.8056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/07/1961,1961-07-24,,2.752,3.2196,3.4772,3.6237,3.7145,3.7755,3.8191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/07/1961,1961-07-25,,2.7926,3.263,3.5185,3.6638,3.754,3.8146,3.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/07/1961,1961-07-26,,2.8261,3.3022,3.5524,3.6903,3.7747,3.8311,3.8715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/07/1961,1961-07-27,,2.828,3.2952,3.5501,3.6975,3.79,3.8524,3.8971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/07/1961,1961-07-28,,2.8194,3.2868,3.5436,3.6924,3.7857,3.8487,3.8939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/07/1961,1961-07-31,,2.778,3.2304,3.5068,3.6787,3.7907,3.8678,3.9234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/1961,1961-08-01,,2.8376,3.2968,3.5527,3.7043,3.8007,3.8663,3.9134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/08/1961,1961-08-02,,2.8682,3.3433,3.6021,3.7486,3.8393,3.9002,3.9437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/08/1961,1961-08-03,,2.8686,3.3546,3.6254,3.7805,3.8769,3.9417,3.9881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/08/1961,1961-08-04,,2.8788,3.3551,3.6229,3.7773,3.8736,3.9385,3.9849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/08/1961,1961-08-07,,2.9589,3.3995,3.6588,3.8176,3.9204,3.991,4.0419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/08/1961,1961-08-08,,2.9983,3.4331,3.6972,3.8583,3.9619,4.0324,4.0832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/08/1961,1961-08-09,,3.0096,3.454,3.7149,3.8701,3.9685,4.0351,4.0829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/08/1961,1961-08-10,,3.0392,3.4626,3.7122,3.8624,3.9584,4.0236,4.0705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/08/1961,1961-08-11,,3.0463,3.4558,3.7018,3.8484,3.9411,4.0038,4.0488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/08/1961,1961-08-14,,3.076,3.4824,3.7206,3.8612,3.9499,4.0099,4.0528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/08/1961,1961-08-15,,3.0789,3.485,3.7217,3.861,3.9488,4.0081,4.0506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/08/1961,1961-08-16,,3.0741,3.4789,3.7121,3.8483,3.9338,3.9914,4.0327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/08/1961,1961-08-17,,3.0722,3.4613,3.685,3.8163,3.8989,3.9547,3.9947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/08/1961,1961-08-18,,3.0229,3.4288,3.6577,3.7857,3.8642,3.9168,3.9543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/08/1961,1961-08-21,,3.0361,3.4444,3.671,3.7954,3.8713,3.9219,3.9581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/08/1961,1961-08-22,,3.0329,3.4306,3.6573,3.7836,3.8609,3.9127,3.9496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/08/1961,1961-08-23,,3.0402,3.4422,3.6691,3.7952,3.8725,3.9241,3.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/08/1961,1961-08-24,,3.0253,3.4185,3.6453,3.7758,3.8569,3.9113,3.9503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/08/1961,1961-08-25,,3.0235,3.4167,3.6428,3.7735,3.855,3.9098,3.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/1961,1961-08-28,,3.0147,3.4039,3.6302,3.7621,3.8446,3.9002,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/08/1961,1961-08-29,,3.0226,3.4059,3.6301,3.7618,3.8446,3.9006,3.9406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/08/1961,1961-08-30,,3.0268,3.4183,3.6436,3.7745,3.8564,3.9115,3.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/08/1961,1961-08-31,,2.9863,3.399,3.6481,3.7919,3.8812,3.9412,3.9841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/1961,1961-09-01,,3.0361,3.4409,3.6703,3.8025,3.8849,3.9403,3.9799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/09/1961,1961-09-05,,3.0435,3.4513,3.6783,3.8082,3.8889,3.9431,3.9819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/09/1961,1961-09-06,,3.0411,3.4623,3.6858,3.8105,3.8873,3.9388,3.9756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/09/1961,1961-09-07,,3.0398,3.4616,3.6863,3.8111,3.8877,3.939,3.9756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/09/1961,1961-09-08,,3.05,3.4787,3.7021,3.8251,3.9004,3.9507,3.9867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/09/1961,1961-09-11,,3.0558,3.4661,3.6864,3.8097,3.8855,3.9364,3.9727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/09/1961,1961-09-12,,3.0506,3.4643,3.686,3.8097,3.8857,3.9366,3.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/09/1961,1961-09-13,,3.0571,3.462,3.6796,3.8012,3.876,3.9261,3.9619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/09/1961,1961-09-14,,3.0613,3.4652,3.6802,3.7999,3.8735,3.9229,3.9581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/09/1961,1961-09-15,,3.0557,3.4627,3.6762,3.7943,3.8667,3.9152,3.9499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/09/1961,1961-09-18,,3.0493,3.4494,3.6638,3.7841,3.8583,3.9081,3.9437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/09/1961,1961-09-19,,3.0561,3.4543,3.6622,3.7776,3.8484,3.8958,3.9297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/09/1961,1961-09-20,,3.0627,3.4626,3.666,3.7774,3.8455,3.8911,3.9236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/09/1961,1961-09-21,,3.06,3.4506,3.6443,3.75,3.8145,3.8577,3.8886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/09/1961,1961-09-22,,3.0479,3.4399,3.6347,3.7411,3.8062,3.8498,3.8809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/09/1961,1961-09-25,,3.0473,3.4345,3.6266,3.7318,3.7962,3.8393,3.8701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/09/1961,1961-09-26,,3.0484,3.4223,3.6028,3.7006,3.7603,3.8003,3.8288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/09/1961,1961-09-27,,3.0385,3.4232,3.6078,3.7072,3.7677,3.8081,3.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/09/1961,1961-09-28,,3.0269,3.4237,3.6113,3.7111,3.7716,3.8119,3.8408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/09/1961,1961-09-29,,2.9358,3.325,3.5412,3.6661,3.7442,3.7968,3.8345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/10/1961,1961-10-02,,2.9932,3.3924,3.5899,3.7003,3.7687,3.8148,3.8478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/10/1961,1961-10-03,,3.005,3.4085,3.6046,3.7133,3.7804,3.8255,3.8578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/10/1961,1961-10-04,,2.9907,3.3816,3.5669,3.6683,3.7306,3.7724,3.8023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/10/1961,1961-10-05,,2.9703,3.3562,3.5419,3.6442,3.7072,3.7496,3.7799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/10/1961,1961-10-06,,2.9711,3.3676,3.5558,3.6588,3.7221,3.7646,3.795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/10/1961,1961-10-09,,3.0062,3.4026,3.5935,3.6926,3.749,3.7841,3.8079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/1961,1961-10-10,,2.9595,3.3735,3.5914,3.7051,3.7635,3.7928,3.8069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/1961,1961-10-11,,2.9756,3.3772,3.5903,3.7041,3.7653,3.7986,3.8172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/10/1961,1961-10-13,,2.9899,3.3787,3.5893,3.7031,3.7644,3.7972,3.8146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/10/1961,1961-10-16,,2.9871,3.3765,3.5875,3.7013,3.7621,3.7941,3.8107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/10/1961,1961-10-17,,2.9803,3.3728,3.5871,3.7017,3.7609,3.7896,3.8018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/10/1961,1961-10-18,,2.9729,3.364,3.5792,3.6949,3.7548,3.7837,3.7958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/10/1961,1961-10-19,,2.9611,3.3492,3.5668,3.6861,3.7491,3.7803,3.7937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/10/1961,1961-10-20,,2.9562,3.3351,3.5534,3.6756,3.7407,3.7723,3.7847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/10/1961,1961-10-23,,2.9641,3.3503,3.5685,3.6879,3.7496,3.7781,3.7878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/10/1961,1961-10-24,,2.9532,3.3443,3.5644,3.6835,3.7437,3.7702,3.7777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/10/1961,1961-10-25,,2.9401,3.3254,3.5445,3.6631,3.7217,3.7452,3.7487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/10/1961,1961-10-26,,2.9226,3.3087,3.5257,3.6439,3.705,3.7334,3.7437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/10/1961,1961-10-27,,2.911,3.2754,3.4864,3.6102,3.6842,3.7295,3.758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/10/1961,1961-10-30,,2.9178,3.2906,3.5034,3.6261,3.6979,3.7407,3.7669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/10/1961,1961-10-31,,2.8936,3.2396,3.4616,3.6087,3.7096,3.7813,3.8339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/11/1961,1961-11-01,,2.9334,3.3188,3.5341,3.6576,3.7312,3.7768,3.8066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/11/1961,1961-11-02,,2.9063,3.2902,3.5083,3.6335,3.7063,3.7495,3.7758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/11/1961,1961-11-03,,2.8865,3.2868,3.5173,3.6498,3.7258,3.7691,3.7936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/11/1961,1961-11-06,,2.8927,3.2843,3.5119,3.6458,3.7257,3.7745,3.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/11/1961,1961-11-08,,2.9024,3.2871,3.508,3.6403,3.7233,3.7781,3.8162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/11/1961,1961-11-09,,2.9242,3.2865,3.5134,3.6523,3.7345,3.7804,3.8033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/1961,1961-11-10,,2.9646,3.3098,3.5329,3.6715,3.7523,3.7937,3.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/11/1961,1961-11-13,,2.9812,3.335,3.5556,3.6882,3.7633,3.8011,3.8152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/11/1961,1961-11-14,,3.0203,3.3468,3.5676,3.7083,3.789,3.8252,3.8286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/11/1961,1961-11-15,,3.0313,3.354,3.5699,3.7088,3.7922,3.8363,3.8527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/11/1961,1961-11-16,,3.0273,3.3606,3.5805,3.7193,3.8005,3.8412,3.8539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/11/1961,1961-11-17,,3.023,3.3578,3.5765,3.7137,3.7942,3.8356,3.8505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/11/1961,1961-11-20,,3.036,3.3416,3.5569,3.7012,3.7902,3.8364,3.8497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/11/1961,1961-11-21,,3.0168,3.3276,3.5441,3.687,3.7731,3.8154,3.8246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/11/1961,1961-11-22,,3.007,3.3091,3.5232,3.6663,3.7524,3.793,3.7978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/11/1961,1961-11-24,,3.0168,3.3201,3.5348,3.6781,3.7641,3.8045,3.8089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/11/1961,1961-11-27,,3.0488,3.3647,3.5821,3.7213,3.7987,3.8277,3.8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/11/1961,1961-11-28,,3.0527,3.372,3.5926,3.7347,3.8147,3.8461,3.8396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/11/1961,1961-11-29,,3.0348,3.3719,3.6014,3.7461,3.8244,3.8513,3.8387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/11/1961,1961-11-30,,3,3.3013,3.5216,3.6775,3.7825,3.8477,3.8817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/1961,1961-12-01,,3.0299,3.3619,3.5832,3.7216,3.7985,3.8302,3.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/12/1961,1961-12-04,,3.0906,3.4258,3.6502,3.7882,3.8593,3.8791,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/12/1961,1961-12-05,,3.1163,3.449,3.6728,3.8112,3.8831,3.9035,3.8846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/12/1961,1961-12-06,,3.1481,3.4771,3.7004,3.8403,3.9148,3.9385,3.9232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/12/1961,1961-12-07,,3.1419,3.4678,3.6884,3.8259,3.8985,3.9206,3.904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/12/1961,1961-12-08,,3.1223,3.4467,3.6683,3.8085,3.8848,3.9112,3.8991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/1961,1961-12-11,,3.1302,3.4582,3.6806,3.8197,3.8936,3.9169,3.9013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/12/1961,1961-12-12,,3.1377,3.4922,3.7245,3.8623,3.9275,3.9378,3.9069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/12/1961,1961-12-13,,3.1345,3.4769,3.7069,3.8489,3.9225,3.9433,3.9239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/12/1961,1961-12-14,,3.1331,3.4508,3.6695,3.8095,3.8872,3.9162,3.9072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/12/1961,1961-12-15,,3.136,3.4425,3.6566,3.7968,3.8779,3.9122,3.9098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/12/1961,1961-12-18,,3.1424,3.4507,3.6654,3.805,3.885,3.9178,3.9137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/12/1961,1961-12-19,,3.1374,3.433,3.6412,3.7789,3.86,3.8961,3.8966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/12/1961,1961-12-20,,3.1267,3.4413,3.6575,3.7954,3.8714,3.8991,3.8891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/1961,1961-12-21,,3.1289,3.4425,3.6577,3.7947,3.8699,3.8969,3.8863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/1961,1961-12-22,,3.1465,3.4336,3.6385,3.7767,3.861,3.9019,3.9083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/12/1961,1961-12-26,,3.1637,3.4414,3.6417,3.7787,3.8643,3.9081,3.9184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/12/1961,1961-12-27,,3.1767,3.4499,3.6474,3.7828,3.8676,3.9114,3.9221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/12/1961,1961-12-28,,3.1554,3.4551,3.6601,3.7897,3.8598,3.8832,3.8704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/12/1961,1961-12-29,,3.1375,3.4212,3.6259,3.7658,3.8532,3.8981,3.9089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/1962,1962-01-02,,3.1446,3.454,3.6589,3.7819,3.8414,3.8521,3.8256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/1962,1962-01-03,,3.1567,3.4611,3.6604,3.7779,3.832,3.8376,3.8066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/1962,1962-01-04,,3.1553,3.4584,3.6539,3.7662,3.8147,3.8149,3.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/1962,1962-01-05,,3.1829,3.4762,3.6681,3.7812,3.8338,3.8403,3.8121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/01/1962,1962-01-08,,3.2077,3.5039,3.6879,3.7931,3.8435,3.8565,3.8446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/01/1962,1962-01-09,,3.2315,3.5164,3.7025,3.8136,3.8685,3.8816,3.8642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/01/1962,1962-01-10,,3.2399,3.5319,3.7179,3.8263,3.8785,3.8905,3.8745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/01/1962,1962-01-11,,3.239,3.538,3.7259,3.8334,3.8834,3.8929,3.8744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/1962,1962-01-12,,3.2274,3.5289,3.7183,3.8305,3.8903,3.9149,3.9165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/1/1962,1962-01-15,,3.2398,3.5583,3.7475,3.854,3.9084,3.9303,3.9326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/1/1962,1962-01-16,,3.2233,3.5712,3.7665,3.8713,3.923,3.9443,3.9485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/1/1962,1962-01-17,,3.2195,3.5704,3.7656,3.869,3.9192,3.9389,3.9419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/1/1962,1962-01-18,,3.1992,3.5452,3.7426,3.8509,3.9064,3.9311,3.9383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/1/1962,1962-01-19,,3.1906,3.5436,3.7395,3.8457,3.901,3.9277,3.9387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/1/1962,1962-01-22,,3.167,3.5188,3.7159,3.8247,3.8836,3.9142,3.9292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/1/1962,1962-01-23,,3.1521,3.5201,3.7242,3.835,3.8931,3.9217,3.934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/1/1962,1962-01-24,,3.1443,3.5075,3.7116,3.824,3.8839,3.9141,3.9276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/1/1962,1962-01-25,,3.1601,3.5297,3.7308,3.839,3.8963,3.9257,3.9401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/1/1962,1962-01-26,,3.1752,3.5508,3.7506,3.8579,3.9162,3.9486,3.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/1/1962,1962-01-29,,3.1789,3.5527,3.7535,3.8638,3.9262,3.9628,3.9855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/1/1962,1962-01-30,,3.1814,3.5588,3.7598,3.8696,3.9316,3.9682,3.9908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/1/1962,1962-01-31,,3.183,3.5668,3.7667,3.8742,3.9345,3.9702,3.9927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/1962,1962-02-01,,3.1887,3.5701,3.7649,3.8696,3.9296,3.9666,3.9911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/1962,1962-02-02,,3.177,3.5635,3.7448,3.8435,3.904,3.9446,3.9736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/1962,1962-02-05,,3.1642,3.5748,3.7437,3.8295,3.881,3.9153,3.9399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/1962,1962-02-06,,3.1629,3.5694,3.7392,3.8257,3.8777,3.9123,3.9371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/2/1962,1962-02-07,,3.1703,3.5648,3.7329,3.8191,3.8709,3.9054,3.9301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/1962,1962-02-08,,3.17,3.5573,3.7139,3.7932,3.8408,3.8725,3.8952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/2/1962,1962-02-09,,3.1689,3.5217,3.6904,3.7803,3.8349,3.8713,3.8973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/2/1962,1962-02-13,,3.1658,3.5283,3.6856,3.7662,3.8147,3.847,3.8701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/2/1962,1962-02-14,,3.184,3.534,3.6811,3.7561,3.8012,3.8312,3.8527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/2/1962,1962-02-15,,3.2128,3.5245,3.6798,3.767,3.8212,3.8577,3.8839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/2/1962,1962-02-16,,3.1938,3.4925,3.6526,3.7464,3.8061,3.8467,3.8759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/2/1962,1962-02-19,,3.1781,3.4858,3.6421,3.7308,3.7862,3.8237,3.8505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/2/1962,1962-02-20,,3.1875,3.5034,3.6555,3.7394,3.7912,3.8259,3.8508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/2/1962,1962-02-21,,3.1468,3.4632,3.6225,3.7125,3.7686,3.8064,3.8336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/2/1962,1962-02-23,,3.0988,3.4229,3.5857,3.6776,3.7348,3.7734,3.8011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/2/1962,1962-02-26,,3.0686,3.3835,3.554,3.6547,3.7189,3.7628,3.7943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
